date,time_point,session,group,subject,room,sick_severity,heat,test_day,test_tp,rank,observer,keeper,task,trial,correct_location,pick,search_1,search_2,search_3,condition,code,experimenter,in_leipzig,birth_date,sex,rearing,age,time_in_leipzig,le_present,le_mean,le_max,dist_present,dist_mean,dist_max,time_outdoors
20220520,1,3,a_chimp,riet,sleep_room,0,no,no,47,3,"fraukje, carola",nico,inhibit_searched,7,NA,NA,3,1,2,NA,0,nico,20010228,19771111,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,riet,sleep_room,0,no,no,47,3,"fraukje, carola",nico,inhibit_searched,8,NA,NA,3,1,2,NA,0,nico,20010228,19771111,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,riet,sleep_room,0,no,no,47,3,"fraukje, carola",nico,inhibit_searched,9,NA,NA,3,2,1,NA,0,nico,20010228,19771111,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,riet,sleep_room,0,no,no,47,3,"fraukje, carola",nico,inhibit_searched,10,NA,NA,1,3,2,NA,0,nico,20010228,19771111,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,riet,sleep_room,0,no,no,47,3,"fraukje, carola",nico,inhibit_searched,11,NA,NA,1,3,2,NA,0,nico,20010228,19771111,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220520,1,3,a_chimp,riet,sleep_room,0,no,no,47,3,"fraukje, carola",nico,inhibit_searched,12,NA,NA,1,2,1,NA,1,nico,20010228,19771111,f,hand,44.51471594798083,21.215605749486652,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,kisha,sleep_room,0,no,no,17,8,"frodo, frank, ohini, bambari",inga,inhibit_searched,1,NA,NA,1,2,2,NA,1,nico,20130919,20040304,f,mother,18.21218343600274,8.668035592060233,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,kisha,sleep_room,0,no,no,17,8,"frodo, frank, ohini, bambari",inga,inhibit_searched,2,NA,NA,2,2,1,NA,1,nico,20130919,20040304,f,mother,18.21218343600274,8.668035592060233,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,kisha,sleep_room,0,no,no,17,8,"frodo, frank, ohini, bambari",inga,inhibit_searched,3,NA,NA,2,1,1,NA,1,nico,20130919,20040304,f,mother,18.21218343600274,8.668035592060233,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,kisha,sleep_room,0,no,no,17,8,"frodo, frank, ohini, bambari",inga,inhibit_searched,4,NA,NA,1,2,2,NA,1,nico,20130919,20040304,f,mother,18.21218343600274,8.668035592060233,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,ohini,sleep_room,0,no,no,17,13,"kisha, frank",inga,inhibit_searched,1,NA,NA,1,2,1,NA,1,nico,20160325,20160325,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,ohini,sleep_room,0,no,no,17,13,"kisha, frank",inga,inhibit_searched,2,NA,NA,1,2,2,NA,1,nico,20160325,20160325,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,ohini,sleep_room,0,no,no,17,13,"kisha, frank",inga,inhibit_searched,3,NA,NA,1,2,1,NA,1,nico,20160325,20160325,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,ohini,sleep_room,0,no,no,17,13,"kisha, frank",inga,inhibit_searched,4,NA,NA,1,2,1,NA,1,nico,20160325,20160325,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,ohini,sleep_room,0,no,no,17,13,"kisha, frank",inga,inhibit_searched,5,NA,NA,2,1,1,NA,1,nico,20160325,20160325,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,ohini,sleep_room,0,no,no,17,13,"kisha, frank",inga,inhibit_searched,6,NA,NA,1,2,3,NA,0,nico,20160325,20160325,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,ohini,sleep_room,0,no,no,17,13,"kisha, frank",inga,inhibit_searched,7,NA,NA,2,1,3,NA,0,nico,20160325,20160325,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,ohini,sleep_room,0,no,no,17,13,"kisha, frank",inga,inhibit_searched,8,NA,NA,1,2,3,NA,0,nico,20160325,20160325,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,ohini,sleep_room,0,no,no,17,13,"kisha, frank",inga,inhibit_searched,9,NA,NA,3,2,1,NA,0,nico,20160325,20160325,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,ohini,sleep_room,0,no,no,17,13,"kisha, frank",inga,inhibit_searched,10,NA,NA,2,1,3,NA,0,nico,20160325,20160325,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,ohini,sleep_room,0,no,no,17,13,"kisha, frank",inga,inhibit_searched,11,NA,NA,2,3,1,NA,0,nico,20160325,20160325,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
20220523,1,3,a_chimp,ohini,sleep_room,0,no,no,17,13,"kisha, frank",inga,inhibit_searched,12,NA,NA,3,2,1,NA,0,nico,20160325,20160325,m,mother,6.154688569472964,6.154688569472964,no,0,0,yes,0.029411764705882415,5,2.958823529411761
