time_point,subject,task,time_cat,trait,n,sum,phase
8,kuno,attent,8,1,12,12,2
8,lexi,attent,8,1,12,8,2
8,maja,attent,8,1,12,12,2
8,makeni,attent,8,1,7,3,2
8,natascha,attent,8,1,6,3,2
8,ohini,attent,8,1,12,10,2
8,padana,attent,8,1,12,10,2
8,pini,attent,8,1,12,3,2
8,raja,attent,8,1,6,1,2
8,riet,attent,8,1,12,9,2
8,sandra,attent,8,1,6,5,2
8,sari,attent,8,1,6,6,2
8,sumai,attent,8,1,12,10,2
8,swela,attent,8,1,12,7,2
8,tai,attent,8,1,12,8,2
8,tayo,attent,8,1,4,4,2
8,yaro,attent,8,1,12,11,2
8,yasa,attent,8,1,12,10,2
8,youma,attent,8,1,12,6,2
8,zira,attent,8,1,12,11,2
9,abeeku,attent,9,1,1,1,2
9,azibo,attent,9,1,12,10,2
9,bimbo,attent,9,1,12,7,2
9,corrie,attent,9,1,12,9,2
9,diara,attent,9,1,12,8,2
9,dokana,attent,9,1,12,6,2
9,fraukje,attent,9,1,12,7,2
9,frodo,attent,9,1,12,9,2
9,hope,attent,9,1,12,7,2
9,jasongo,attent,9,1,5,2,2
9,kasai,attent,9,1,12,12,2
9,kianga,attent,9,1,12,7,2
9,kibara,attent,9,1,12,8,2
9,kio,attent,9,1,12,12,2
9,kisha,attent,9,1,12,9,2
9,kumili,attent,9,1,12,11,2
9,kuno,attent,9,1,12,12,2
9,luiza,attent,9,1,12,11,2
9,maja,attent,9,1,12,11,2
9,makeni,attent,9,1,12,10,2
9,natascha,attent,9,1,12,6,2
9,ohini,attent,9,1,12,11,2
9,padana,attent,9,1,12,8,2
9,pini,attent,9,1,12,5,2
9,raja,attent,9,1,12,8,2
9,riet,attent,9,1,12,8,2
9,sandra,attent,9,1,12,7,2
9,sari,attent,9,1,12,11,2
9,shanga,attent,9,1,12,6,2
9,sumai,attent,9,1,12,11,2
9,swela,attent,9,1,12,7,2
9,tai,attent,9,1,1,1,2
9,tayo,attent,9,1,12,12,2
9,yaro,attent,9,1,12,12,2
9,yasa,attent,9,1,12,8,2
9,youma,attent,9,1,12,6,2
10,abeeku,attent,10,1,12,6,2
10,alex,attent,10,1,12,5,2
10,amira,attent,10,1,6,4,2
10,bimbo,attent,10,1,12,7,2
10,corrie,attent,10,1,12,6,2
10,diara,attent,10,1,12,11,2
10,dokana,attent,10,1,12,8,2
10,fraukje,attent,10,1,12,7,2
10,frederike,attent,10,1,3,2,2
10,frodo,attent,10,1,12,8,2
10,hope,attent,10,1,12,6,2
10,jeudi,attent,10,1,5,2,2
10,kasai,attent,10,1,12,10,2
10,kianga,attent,10,1,12,9,2
10,kibara,attent,10,1,12,7,2
10,kio,attent,10,1,12,12,2
10,kisha,attent,10,1,12,8,2
10,kumili,attent,10,1,12,10,2
10,kuno,attent,10,1,12,11,2
10,lexi,attent,10,1,12,7,2
10,luiza,attent,10,1,12,11,2
10,maja,attent,10,1,12,12,2
10,makeni,attent,10,1,8,8,2
10,natascha,attent,10,1,12,9,2
10,ohini,attent,10,1,12,11,2
10,padana,attent,10,1,12,11,2
10,pini,attent,10,1,12,4,2
10,raja,attent,10,1,9,4,2
10,riet,attent,10,1,12,6,2
10,sandra,attent,10,1,12,12,2
10,sari,attent,10,1,6,6,2
10,swela,attent,10,1,12,4,2
10,tai,attent,10,1,12,8,2
10,tayo,attent,10,1,12,12,2
10,yaro,attent,10,1,12,12,2
10,yasa,attent,10,1,12,8,2
10,youma,attent,10,1,8,3,2
10,zira,attent,10,1,12,11,2
