time_point subject task trial code
2 youma quant 3 1
2 youma quant 4 0
2 youma quant 5 1
2 youma quant 6 0
2 youma quant 7 0
2 youma quant 8 1
2 youma quant 9 1
2 youma quant 10 0
2 youma quant 11 1
2 youma quant 12 1
2 youma delay 1 0
2 youma delay 2 0
2 youma delay 3 0
2 youma delay 4 1
2 youma delay 5 0
2 youma delay 6 0
2 youma delay 7 0
2 youma delay 8 0
2 youma delay 9 0
2 youma delay 10 0
2 youma delay 11 0
2 youma delay 12 0
2 youma gaze 7 0
2 youma gaze 8 0
2 youma gaze 1 0
2 youma gaze 2 0
2 youma inference 1 0
2 youma cause 1 1
2 youma inference 2 0
2 youma cause 2 1
2 youma inference 3 0
2 youma cause 3 0
2 youma cause 4 1
2 youma inference 4 0
2 youma inference 5 1
2 youma cause 5 0
2 youma cause 6 0
2 youma inference 6 1
2 youma cause 7 1
2 youma cause 8 0
2 youma inference 7 0
2 youma inference 8 1
2 youma cause 9 0
2 youma inference 9 1
2 youma cause 10 1
2 youma cause 11 0
2 youma inference 10 1
2 youma inference 11 0
2 youma cause 12 1
